chapter_id,chapter_sequence_no,book_id,author_id,published_date,tags
8821958,1,173863,34697,01-02-2019,Romance|Science Fiction
1453802,2,173863,34697,21-02-2019,Literary Fiction|Science Fiction|Graphic Novel|Romance
4240903,3,173863,34697,25-02-2019,Romance|Thriller
4704280,4,173863,34697,02-05-2019,Romance|Science Fiction|Dystopian
6190861,5,173863,34697,02-04-2019,Romance
1561527,6,173863,34697,02-05-2019,Romance
3203406,7,173863,34697,26-04-2019,Romance|Literary Fiction
2236046,8,173863,34697,05-04-2019,Romance
5942511,9,173863,34697,09-06-2019,Romance|Humor|Paranormal|Horror
5248336,1,702891,36772,30-07-2014,Humor
2593527,2,702891,36772,14-08-2014,Humor|Dystopian|Graphic Novel|Paranormal
3606599,1,961530,15930,03-05-2014,Mystery|Adventure|Historical Fiction
8616945,2,961530,15930,18-05-2014,Graphic Novel|Crime|Adventure
9146905,3,961530,15930,19-05-2014,Romance|Humor|Adventure
1784566,4,961530,15930,05-06-2014,Mystery|Paranormal|Young Adult|Adventure
9710862,5,961530,15930,02-07-2014,Adventure|Young Adult|Fantasy
5684166,6,961530,15930,17-06-2014,Adventure
5584628,7,961530,15930,01-08-2014,Graphic Novel|Adventure
8985387,1,338703,56548,13-09-1998,Dystopian|Fantasy|Science Fiction|Horror
2806746,1,371212,62383,25-02-2005,Romance
2595136,2,371212,62383,14-03-2005,Mystery|Romance
3716217,1,527433,35751,23-05-1992,Adventure|Dystopian|Young Adult|Mystery
8692825,2,527433,35751,15-06-1992,Young Adult|Horror
5713714,3,527433,35751,22-07-1992,Adventure|Young Adult|Fantasy
5332975,4,527433,35751,07-07-1992,Historical Fiction|Graphic Novel|Young Adult|Dystopian
4761465,1,506881,39402,28-06-2003,Literary Fiction
5530325,2,506881,39402,08-07-2003,Horror|Literary Fiction|Fantasy|Historical Fiction
3527879,3,506881,39402,27-08-2003,Literary Fiction
9785833,1,573039,67954,02-07-1999,Humor|Crime
5026387,1,760830,67261,01-01-1999,Romance|Thriller|Adventure|Graphic Novel
3978233,2,760830,67261,25-01-1999,Crime|Adventure
6092639,3,760830,67261,22-02-1999,Horror|Adventure|Dystopian|Fantasy
4288700,4,760830,67261,02-03-1999,Adventure|Paranormal|Literary Fiction
7730332,5,760830,67261,22-03-1999,Literary Fiction|Historical Fiction|Adventure|Paranormal
2131521,1,524094,46463,20-08-1995,Humor|Mystery|Fantasy|Dystopian
7988236,2,524094,46463,14-09-1995,Humor
5130244,1,554059,79352,04-03-1996,Horror|Young Adult|Dystopian
2463997,2,554059,79352,13-03-1996,Young Adult
2650760,1,431773,25043,25-10-2007,Science Fiction|Romance|Graphic Novel
1545097,2,431773,25043,15-11-2007,Historical Fiction|Young Adult|Graphic Novel|Romance
6700759,1,117711,42990,21-11-1991,Historical Fiction|Mystery|Dystopian
4419902,1,508422,59987,02-03-1990,Crime|Science Fiction
4781126,2,508422,59987,10-03-1990,Crime|Graphic Novel
2914171,1,806004,30517,22-06-2018,Literary Fiction
3233774,2,806004,30517,20-07-2018,Literary Fiction
2816591,3,806004,30517,03-08-2018,Literary Fiction
1842278,4,806004,30517,12-08-2018,Literary Fiction
6514559,5,806004,30517,28-07-2018,Graphic Novel|Paranormal|Historical Fiction|Literary Fiction
2547877,6,806004,30517,10-10-2018,Literary Fiction
2961746,7,806004,30517,02-09-2018,Science Fiction|Thriller|Literary Fiction|Graphic Novel
4830916,1,224052,89194,08-04-2010,Romance|Paranormal
6728112,2,224052,89194,03-05-2010,Paranormal|Science Fiction
1599991,3,224052,89194,08-05-2010,Paranormal|Crime|Science Fiction|Thriller
3902108,1,660814,28322,09-06-2011,Literary Fiction
8698740,2,660814,28322,17-06-2011,Literary Fiction|Science Fiction
3154216,3,660814,28322,04-08-2011,Literary Fiction|Fantasy|Horror|Dystopian
6596545,4,660814,28322,30-06-2011,Literary Fiction
6472873,5,660814,28322,01-09-2011,Fantasy|Crime|Humor|Literary Fiction
2582967,6,660814,28322,02-09-2011,Literary Fiction|Humor
1576254,7,660814,28322,27-07-2011,Graphic Novel|Literary Fiction
4690734,1,106185,57707,29-11-2015,Science Fiction|Graphic Novel
6430287,2,106185,57707,15-12-2015,Young Adult|Crime|Humor|Graphic Novel
4466027,1,772580,93320,15-08-2007,Mystery|Young Adult
2655791,1,855274,39253,15-11-2008,Science Fiction|Literary Fiction|Crime|Horror
3244182,2,855274,39253,14-12-2008,Science Fiction|Historical Fiction|Crime
1261632,3,855274,39253,07-12-2008,Crime
9871054,4,855274,39253,29-01-2009,Crime
7437443,5,855274,39253,03-03-2009,Crime
5435950,6,855274,39253,30-03-2009,Paranormal|Crime|Romance
7132372,7,855274,39253,21-03-2009,Graphic Novel|Literary Fiction|Adventure|Crime
6921450,1,748386,67983,06-03-2007,Literary Fiction
8104902,2,748386,67983,02-04-2007,Literary Fiction|Dystopian
9077801,3,748386,67983,21-04-2007,Literary Fiction|Adventure|Thriller
8280735,4,748386,67983,23-04-2007,Historical Fiction|Literary Fiction|Paranormal
9238646,5,748386,67983,07-04-2007,Horror|Literary Fiction|Romance|Adventure
7263437,1,166309,19564,11-05-2009,Science Fiction|Paranormal|Fantasy|Historical Fiction
3433522,2,166309,19564,07-06-2009,Historical Fiction|Humor|Paranormal
2029100,1,892682,41348,16-03-2010,Romance|Mystery|Fantasy
5192668,2,892682,41348,04-04-2010,Mystery
5677533,1,882186,57303,02-10-2017,Mystery|Young Adult|Fantasy|Romance
9312471,1,714054,12559,04-12-2004,Literary Fiction|Mystery
7130210,2,714054,12559,12-12-2004,Literary Fiction|Crime
3245582,3,714054,12559,23-01-2005,Thriller|Dystopian|Humor|Literary Fiction
7754735,1,147727,32659,27-01-2017,Paranormal|Crime|Thriller
4839706,2,147727,32659,10-02-2017,Paranormal|Adventure
4787801,3,147727,32659,24-03-2017,Paranormal|Literary Fiction
2030350,4,147727,32659,12-04-2017,Romance|Horror|Paranormal|Graphic Novel
7102295,1,834928,22903,12-01-2011,Romance
6338027,2,834928,22903,06-02-2011,Romance|Paranormal|Humor|Mystery
6458856,3,834928,22903,01-02-2011,Young Adult|Romance|Mystery|Adventure
2743546,4,834928,22903,16-03-2011,Romance
3840357,5,834928,22903,14-04-2011,Romance|Historical Fiction|Young Adult|Humor
5148182,6,834928,22903,26-02-2011,Romance|Mystery|Paranormal
3463207,7,834928,22903,06-05-2011,Literary Fiction|Science Fiction|Mystery|Romance
6324713,8,834928,22903,10-08-2011,Romance
2476553,9,834928,22903,18-04-2011,Romance
4172587,10,834928,22903,21-09-2011,Romance
2583684,11,834928,22903,01-06-2011,Mystery|Graphic Novel|Romance
1000164,12,834928,22903,21-04-2011,Historical Fiction|Mystery|Romance|Dystopian
6164800,1,989455,55870,04-07-2004,Graphic Novel|Paranormal|Fantasy
7838897,2,989455,55870,17-07-2004,Graphic Novel
8893150,3,989455,55870,27-08-2004,Graphic Novel
8045312,4,989455,55870,15-08-2004,Humor|Graphic Novel|Romance|Young Adult
5242706,1,176115,92614,08-06-2018,Humor|Historical Fiction|Paranormal|Fantasy
4461424,1,475075,86380,27-08-1990,Mystery
7609652,2,475075,86380,07-09-1990,Mystery|Historical Fiction
1352309,1,627262,31020,03-11-1997,Science Fiction|Fantasy|Young Adult|Romance
6575256,2,627262,31020,13-11-1997,Young Adult|Adventure|Horror|Science Fiction
8429225,3,627262,31020,17-12-1997,Science Fiction
5324973,4,627262,31020,17-01-1998,Science Fiction
9184317,5,627262,31020,17-12-1997,Science Fiction|Romance
4495850,1,211291,73318,25-02-2005,Horror|Graphic Novel|Adventure
9673402,2,211291,73318,07-03-2005,Dystopian|Humor|Adventure
5400479,3,211291,73318,24-04-2005,Adventure
5046259,4,211291,73318,08-05-2005,Adventure
4334729,5,211291,73318,14-04-2005,Adventure|Literary Fiction
5107114,1,403915,47762,05-05-2001,Crime|Young Adult|Mystery
4506677,2,403915,47762,15-05-2001,Science Fiction|Young Adult|Mystery
3398210,3,403915,47762,27-05-2001,Young Adult
8170897,4,403915,47762,01-07-2001,Young Adult|Crime
2818961,5,403915,47762,24-07-2001,Young Adult|Dystopian|Mystery
4926649,6,403915,47762,04-07-2001,Paranormal|Young Adult
2922065,7,403915,47762,10-07-2001,Young Adult
3869304,8,403915,47762,30-06-2001,Dystopian|Young Adult
6406075,9,403915,47762,30-06-2001,Horror|Young Adult
1774896,10,403915,47762,28-11-2001,Young Adult
9461496,1,925115,15938,01-12-2017,Horror
7042430,2,925115,15938,18-12-2017,Crime|Fantasy|Horror|Graphic Novel
7702937,3,925115,15938,28-01-2018,Dystopian|Horror
4388192,4,925115,15938,11-02-2018,Thriller|Fantasy|Horror
9407696,5,925115,15938,31-03-2018,Horror|Science Fiction
5820152,6,925115,15938,31-03-2018,Fantasy|Horror
3969146,7,925115,15938,24-01-2018,Horror
2850337,8,925115,15938,26-01-2018,Romance|Science Fiction|Horror|Dystopian
6023880,9,925115,15938,18-05-2018,Horror
2421355,10,925115,15938,11-02-2018,Horror
7408899,11,925115,15938,09-06-2018,Adventure|Horror
9317929,12,925115,15938,21-03-2018,Horror|Adventure|Humor|Young Adult
3110697,13,925115,15938,14-11-2018,Horror|Literary Fiction
5118589,14,925115,15938,30-11-2018,Horror
8670728,15,925115,15938,07-09-2018,Dystopian|Horror|Humor
6830274,1,819195,54642,11-09-1994,Horror|Humor|Graphic Novel
3967405,2,819195,54642,25-09-1994,Horror|Paranormal|Historical Fiction
9644161,1,415989,48715,10-04-2006,Mystery|Graphic Novel|Crime
8617888,2,415989,48715,30-04-2006,Thriller|Graphic Novel|Paranormal
8806181,3,415989,48715,30-05-2006,Dystopian|Literary Fiction|Graphic Novel
6782988,4,415989,48715,12-06-2006,Graphic Novel|Dystopian|Fantasy
1685200,5,415989,48715,23-07-2006,Mystery|Graphic Novel|Young Adult|Dystopian
2922334,6,415989,48715,13-08-2006,Dystopian|Adventure|Graphic Novel|Thriller
8328952,7,415989,48715,26-08-2006,Science Fiction|Graphic Novel
2842075,1,736030,94939,23-03-2010,Humor|Horror|Thriller
1953543,2,736030,94939,01-04-2010,Thriller|Horror
6763668,3,736030,94939,10-05-2010,Horror|Graphic Novel|Romance|Science Fiction
2509482,4,736030,94939,07-05-2010,Horror
2105042,1,190707,75826,25-06-2011,Young Adult|Romance|Graphic Novel
7315297,2,190707,75826,04-07-2011,Adventure|Fantasy|Graphic Novel
3121021,3,190707,75826,19-07-2011,Graphic Novel|Adventure|Horror
4976169,1,395192,55982,12-04-1997,Graphic Novel|Fantasy|Adventure
2914620,2,395192,55982,06-05-1997,Graphic Novel
6295951,3,395192,55982,02-05-1997,Horror|Mystery|Graphic Novel|Paranormal
2097691,4,395192,55982,03-05-1997,Horror|Graphic Novel|Romance|Humor
1304239,5,395192,55982,10-05-1997,Young Adult|Paranormal|Mystery|Graphic Novel
7138057,6,395192,55982,10-08-1997,Graphic Novel
1876625,7,395192,55982,15-09-1997,Humor|Graphic Novel|Literary Fiction
9344645,8,395192,55982,23-08-1997,Graphic Novel
1115522,9,395192,55982,27-09-1997,Graphic Novel
6123757,10,395192,55982,14-06-1997,Graphic Novel|Horror|Fantasy
3039122,11,395192,55982,01-07-1997,Adventure|Thriller|Graphic Novel|Literary Fiction
7234200,1,902448,34219,15-09-1999,Mystery
9550137,2,902448,34219,22-09-1999,Mystery|Adventure
5336624,3,902448,34219,05-10-1999,Mystery|Historical Fiction|Young Adult
4599644,4,902448,34219,05-12-1999,Mystery
5340070,5,902448,34219,13-01-2000,Mystery
2116376,6,902448,34219,02-02-2000,Mystery|Graphic Novel|Romance
9524334,1,558936,91205,07-07-2007,Young Adult|Humor|Graphic Novel|Adventure
8999545,1,499941,65333,28-01-1990,Thriller|Mystery|Paranormal
6729912,2,499941,65333,24-02-1990,Graphic Novel|Thriller|Dystopian|Science Fiction
4184348,3,499941,65333,13-03-1990,Young Adult|Fantasy|Thriller|Graphic Novel
3411258,4,499941,65333,13-04-1990,Thriller
2730403,5,499941,65333,16-05-1990,Thriller|Adventure|Paranormal|Dystopian
3851958,6,499941,65333,13-04-1990,Thriller
7147948,1,514306,49132,24-04-2017,Adventure|Science Fiction|Horror
3060457,2,514306,49132,02-05-2017,Science Fiction|Literary Fiction|Romance
8109423,3,514306,49132,05-06-2017,Dystopian|Thriller|Science Fiction
6131122,4,514306,49132,23-07-2017,Horror|Science Fiction
2768003,5,514306,49132,22-08-2017,Paranormal|Science Fiction|Horror
4338144,6,514306,49132,21-09-2017,Young Adult|Literary Fiction|Graphic Novel|Science Fiction
4437619,1,962057,57964,18-03-2017,Young Adult|Graphic Novel|Humor|Dystopian
4294674,2,962057,57964,30-03-2017,Humor|Dystopian|Thriller
2593409,3,962057,57964,11-04-2017,Humor
3226243,4,962057,57964,23-05-2017,Humor|Fantasy
8959157,5,962057,57964,22-06-2017,Humor
2978718,1,792818,85598,21-03-2005,Humor|Adventure|Horror|Paranormal
4899487,2,792818,85598,29-03-2005,Adventure|Humor
7718312,3,792818,85598,16-04-2005,Romance|Dystopian|Horror|Humor
6478405,4,792818,85598,13-06-2005,Humor
3399359,5,792818,85598,03-07-2005,Humor
1781407,1,132316,45916,27-06-1990,Young Adult
9149353,2,132316,45916,10-07-1990,Young Adult|Romance|Horror|Literary Fiction
1456651,3,132316,45916,02-08-1990,Young Adult
8188062,4,132316,45916,11-08-1990,Paranormal|Young Adult
7487290,5,132316,45916,25-10-1990,Fantasy|Young Adult|Paranormal|Historical Fiction
8347911,6,132316,45916,16-08-1990,Young Adult|Literary Fiction|Graphic Novel
7213159,1,597012,74930,09-03-2009,Thriller
6686208,1,263917,52823,15-04-1998,Dystopian
3517396,2,263917,52823,22-04-1998,Science Fiction|Adventure|Crime|Dystopian
2557083,3,263917,52823,10-06-1998,Young Adult|Literary Fiction|Romance|Dystopian
5254937,4,263917,52823,14-06-1998,Dystopian|Historical Fiction|Humor
8988693,1,659381,85007,27-08-2020,Humor|Horror|Mystery
7673345,2,659381,85007,03-09-2020,Mystery|Crime
7458321,3,659381,85007,20-09-2020,Mystery|Adventure|Science Fiction|Horror
7432394,4,659381,85007,29-09-2020,Fantasy|Historical Fiction|Mystery
2460979,5,659381,85007,24-09-2020,Literary Fiction|Mystery|Humor|Dystopian
8969765,6,659381,85007,25-12-2020,Graphic Novel|Mystery|Literary Fiction
2272058,7,659381,85007,13-12-2020,Mystery
3995702,8,659381,85007,18-03-2021,Thriller|Mystery
4652013,9,659381,85007,25-12-2020,Paranormal|Mystery|Science Fiction|Humor
2236743,1,330545,95029,14-05-2019,Literary Fiction|Mystery
7558123,2,330545,95029,12-06-2019,Horror|Mystery|Young Adult
8627553,3,330545,95029,11-07-2019,Crime|Dystopian|Mystery
9355569,4,330545,95029,10-07-2019,Fantasy|Thriller|Mystery|Paranormal
3870683,5,330545,95029,18-08-2019,Humor|Mystery|Science Fiction
9065625,6,330545,95029,11-09-2019,Romance|Historical Fiction|Mystery
4884041,7,330545,95029,18-08-2019,Crime|Mystery|Fantasy|Dystopian
1056343,8,330545,95029,10-12-2019,Mystery|Romance|Graphic Novel|Humor
1510496,1,243006,24125,21-12-2004,Horror|Literary Fiction|Fantasy|Humor
1612354,2,243006,24125,06-01-2005,Horror|Literary Fiction
7546181,3,243006,24125,09-02-2005,Literary Fiction|Crime|Humor|Dystopian
6626207,4,243006,24125,03-03-2005,Literary Fiction
2610031,5,243006,24125,19-02-2005,Historical Fiction|Literary Fiction|Mystery|Graphic Novel
4690962,6,243006,24125,15-04-2005,Literary Fiction
6812729,7,243006,24125,08-04-2005,Adventure|Graphic Novel|Literary Fiction
9347754,8,243006,24125,15-02-2005,Literary Fiction|Graphic Novel
3770383,9,243006,24125,06-05-2005,Historical Fiction|Dystopian|Literary Fiction|Graphic Novel
5032602,10,243006,24125,17-04-2005,Literary Fiction|Horror
9843564,1,883028,21746,20-04-1992,Thriller|Dystopian
6154463,2,883028,21746,09-05-1992,Dystopian
3940509,3,883028,21746,13-06-1992,Science Fiction|Dystopian
6038383,4,883028,21746,16-06-1992,Science Fiction|Dystopian
3670208,5,883028,21746,26-05-1992,Mystery|Thriller|Dystopian
2060797,6,883028,21746,19-06-1992,Mystery|Literary Fiction|Dystopian
4739429,7,883028,21746,19-06-1992,Dystopian
5184825,8,883028,21746,27-07-1992,Historical Fiction|Dystopian
7071955,1,509985,42007,09-05-1995,Romance
5092425,2,509985,42007,05-06-1995,Dystopian|Romance|Mystery
9058144,1,935474,83249,23-04-1997,Young Adult|Graphic Novel|Fantasy|Humor
5170411,2,935474,83249,03-05-1997,Fantasy
1748421,3,935474,83249,23-05-1997,Fantasy
4009063,1,936223,57537,21-12-2017,Thriller|Mystery|Fantasy
9963546,2,936223,57537,13-01-2018,Romance|Mystery|Humor|Horror
8364637,3,936223,57537,14-01-2018,Mystery
5812321,1,990731,96136,24-06-1999,Thriller
2867517,2,990731,96136,01-07-1999,Science Fiction|Thriller
9148625,1,672233,98470,01-04-2003,Historical Fiction|Graphic Novel
6671563,2,672233,98470,14-04-2003,Graphic Novel|Literary Fiction|Humor
8632526,3,672233,98470,11-05-2003,Graphic Novel|Thriller|Science Fiction
3499533,4,672233,98470,28-05-2003,Graphic Novel|Fantasy|Paranormal
1284893,5,672233,98470,16-06-2003,Graphic Novel|Fantasy|Science Fiction
9174142,6,672233,98470,26-05-2003,Graphic Novel|Literary Fiction|Crime|Thriller
7651097,7,672233,98470,28-09-2003,Graphic Novel|Literary Fiction|Mystery|Crime
4707090,8,672233,98470,19-08-2003,Fantasy|Graphic Novel|Adventure|Literary Fiction
3050438,9,672233,98470,08-09-2003,Dystopian|Adventure|Graphic Novel
7007748,10,672233,98470,03-06-2003,Dystopian|Graphic Novel|Fantasy|Historical Fiction
2018285,11,672233,98470,10-07-2003,Graphic Novel|Fantasy|Crime|Horror
2053222,12,672233,98470,16-10-2003,Graphic Novel
1702155,13,672233,98470,30-07-2003,Horror|Crime|Thriller|Graphic Novel
5456985,14,672233,98470,07-02-2004,Graphic Novel
2775271,15,672233,98470,28-10-2003,Humor|Graphic Novel|Romance|Dystopian
3077727,16,672233,98470,29-08-2003,Mystery|Graphic Novel|Literary Fiction|Science Fiction
1747397,17,672233,98470,11-11-2003,Graphic Novel|Humor|Dystopian
4732990,18,672233,98470,18-02-2004,Graphic Novel
5597464,19,672233,98470,13-04-2004,Graphic Novel
5398123,20,672233,98470,27-10-2003,Dystopian|Science Fiction|Graphic Novel
7350259,1,409307,79774,27-12-1993,Literary Fiction|Graphic Novel|Historical Fiction
2010148,2,409307,79774,24-01-1994,Literary Fiction|Historical Fiction|Young Adult|Science Fiction
2999183,3,409307,79774,28-01-1994,Historical Fiction|Graphic Novel|Horror
7696996,4,409307,79774,26-01-1994,Historical Fiction
7222831,5,409307,79774,25-03-1994,Historical Fiction|Humor
6601221,6,409307,79774,05-02-1994,Historical Fiction
3243209,7,409307,79774,07-06-1994,Horror|Literary Fiction|Historical Fiction|Crime
7882042,1,764845,59968,19-10-2020,Historical Fiction|Horror
5608184,2,764845,59968,17-11-2020,Horror
6562318,3,764845,59968,10-11-2020,Literary Fiction|Horror
6532476,4,764845,59968,08-01-2021,Paranormal|Horror|Thriller|Science Fiction
8384020,1,251074,82420,20-12-2008,Romance
7256241,2,251074,82420,04-01-2009,Fantasy|Mystery|Romance
5292876,3,251074,82420,18-02-2009,Dystopian|Romance
8971218,4,251074,82420,03-02-2009,Romance|Thriller|Mystery|Fantasy
8039954,5,251074,82420,15-04-2009,Romance|Dystopian
8218477,6,251074,82420,19-04-2009,Romance|Literary Fiction|Fantasy|Mystery
9354992,7,251074,82420,01-04-2009,Romance|Historical Fiction
1709178,1,412534,27125,21-05-1991,Dystopian|Historical Fiction|Mystery|Romance
5773327,2,412534,27125,13-06-1991,Paranormal|Young Adult|Mystery|Adventure
3820212,1,810189,99733,12-01-2002,Young Adult|Mystery|Science Fiction
4989718,2,810189,99733,24-01-2002,Science Fiction|Young Adult|Mystery
2462946,3,810189,99733,11-03-2002,Adventure|Thriller|Young Adult
1716124,4,810189,99733,28-03-2002,Young Adult|Thriller|Paranormal|Romance
9285718,5,810189,99733,25-03-2002,Thriller|Young Adult|Dystopian|Graphic Novel
3110963,6,810189,99733,01-06-2002,Young Adult|Romance
9237783,7,810189,99733,12-04-2002,Science Fiction|Young Adult|Graphic Novel|Mystery
6139429,8,810189,99733,29-06-2002,Young Adult
6029822,9,810189,99733,09-09-2002,Young Adult
4105631,10,810189,99733,30-04-2002,Fantasy|Dystopian|Adventure|Young Adult
9793040,11,810189,99733,12-05-2002,Literary Fiction|Young Adult
1289458,12,810189,99733,13-05-2002,Young Adult
1382464,1,933635,91230,15-08-1997,Romance
9746973,2,933635,91230,14-09-1997,Romance
9920424,3,933635,91230,06-09-1997,Thriller|Young Adult|Mystery|Romance
9534533,1,864752,94717,19-11-2007,Horror|Dystopian
4098729,2,864752,94717,05-12-2007,Literary Fiction|Dystopian
2970040,3,864752,94717,04-01-2008,Mystery|Dystopian
7244923,4,864752,94717,25-12-2007,Dystopian
2816519,5,864752,94717,17-12-2007,Graphic Novel|Paranormal|Dystopian|Adventure
1155974,6,864752,94717,03-01-2008,Dystopian|Fantasy|Romance
2186200,1,779414,28344,10-05-2000,Graphic Novel
2118082,2,779414,28344,02-06-2000,Graphic Novel|Young Adult|Crime
6049805,3,779414,28344,24-05-2000,Graphic Novel|Historical Fiction
9013228,1,491255,44003,04-01-2003,Romance
7936489,2,491255,44003,27-01-2003,Romance|Dystopian
4991722,3,491255,44003,05-02-2003,Romance
1626305,4,491255,44003,17-03-2003,Dystopian|Romance|Paranormal
6121014,5,491255,44003,25-02-2003,Literary Fiction|Romance|Paranormal
7310671,1,111691,90147,24-09-1998,Horror
7156024,2,111691,90147,03-10-1998,Humor|Horror|Science Fiction|Literary Fiction
9167939,1,680412,41147,09-10-1991,Humor|Mystery|Horror
3576209,2,680412,41147,21-10-1991,Mystery
1377986,3,680412,41147,14-11-1991,Mystery|Science Fiction|Horror
9851306,4,680412,41147,26-12-1991,Mystery
6821803,5,680412,41147,10-11-1991,Historical Fiction|Young Adult|Mystery|Crime
6894021,6,680412,41147,26-02-1992,Mystery|Humor
1260977,7,680412,41147,12-02-1992,Mystery
8166618,8,680412,41147,25-12-1991,Mystery
7856169,9,680412,41147,29-01-1992,Mystery|Romance|Thriller|Paranormal
5855899,10,680412,41147,19-03-1992,Adventure|Mystery
6668344,11,680412,41147,25-06-1992,Mystery
5423122,12,680412,41147,25-12-1991,Adventure|Mystery|Crime
1937878,13,680412,41147,18-04-1992,Mystery|Romance|Crime
2623810,14,680412,41147,11-09-1992,Humor|Paranormal|Mystery
7221266,15,680412,41147,23-09-1992,Fantasy|Mystery|Crime
5874550,16,680412,41147,21-04-1992,Mystery
3209395,17,680412,41147,12-11-1992,Historical Fiction|Mystery
9164346,18,680412,41147,13-02-1993,Mystery
9699035,1,682032,89730,23-05-2011,Adventure|Crime|Graphic Novel|Science Fiction
2351412,1,248241,85061,04-04-1997,Graphic Novel
3015051,2,248241,85061,01-05-1997,Graphic Novel
4688978,3,248241,85061,16-05-1997,Graphic Novel
1935604,4,248241,85061,25-04-1997,Graphic Novel
3658955,5,248241,85061,26-05-1997,Graphic Novel
2779294,6,248241,85061,28-06-1997,Dystopian|Thriller|Graphic Novel
5206939,1,229221,31679,23-10-2018,Young Adult|Horror|Historical Fiction|Humor
8922919,2,229221,31679,31-10-2018,Dystopian|Horror
1403521,3,229221,31679,24-11-2018,Horror|Thriller|Crime|Humor
5515316,4,229221,31679,06-01-2019,Adventure|Horror|Humor
4419831,1,143802,13365,09-09-1998,Young Adult|Paranormal|Mystery|Adventure
3689365,1,105274,54541,28-06-2010,Humor|Young Adult
5263745,2,105274,54541,17-07-2010,Humor|Horror
4614753,3,105274,54541,21-08-2010,Historical Fiction|Humor
7059215,4,105274,54541,18-08-2010,Adventure|Humor|Graphic Novel
